id	string	family	given	name	flag	start	end
bm000358752	Young, L.E. (fl. 1923-1926)	Young	L.E.	L.E. Young	fl. 	1923	1926
bm000351593	Turner, Bert Jane	Turner	Bert Jane	Bert Jane Turner			
bm000341307	Marques, A.	Marques	A.	A. Marques			
bm000150869	Courten, William (1642-1702)	Courten	William	William Courten		1642	1702
bm000055434	Kestel-Cornish, Robert K. (1824-1909)	Kestel-Cornish	Robert K.	Robert K. Kestel-Cornish		1824	1909
bm000056379	Osborn, Theodore George Bentley (1887-1973)	Osborn	Theodore George Bentley	Theodore George Bentley Osborn		1887	1973
bm000358208	Layton, Duke Vivia (1903-)	Layton	Duke Vivia	Duke Vivia Layton		1903	
bm000127425	Houard, C. (fl. 1914)	Houard	C.	C. Houard	fl. 	1914	
bm000344915	Smith, B.E.	Smith	B.E.	B.E. Smith			
bm000058433	Lehmbach, Hermann (fl. 1896-1898)	Lehmbach	Hermann	Hermann Lehmbach	fl. 	1896	1898
bm000382276	Navashin, Sergei Gavrilovich (1857-1930)	Navashin	Sergei Gavrilovich	Sergei Gavrilovich Navashin		1857	1930
bm000055592	Holle-De Raeve, Alain Can	Holle-De Raeve	Alain Can	Alain Can Holle-De Raeve			
bm000357354	Sykes, Marjorie Hilda (1917-)	Sykes	Marjorie Hilda	Marjorie Hilda Sykes		1917	
bm000129864	Raharijaona (fl. 1918)	Raharijaona (fl. 1918)             					
bm000147232	Archangelsky, Ana (1959-)	Archangelsky	Ana	Ana Archangelsky		1959	
bm000361832	Sumner, Ralph W.	Sumner	Ralph W.	Ralph W. Sumner			
bm000002008	Deschamps, Louis Auguste (1765-1842)	Deschamps	Louis Auguste	Louis Auguste Deschamps		1765	1842
bm000048609	Kamphorst, A. (fl. 1960)	Kamphorst	A.	A. Kamphorst	fl. 	1960	
bm000325793	Peschkova, Galina A. (1930-)	Peschkova	Galina A.	Galina A. Peschkova		1930	
bm000356004	Rézette	Rézette             					
bm000376399	Warrington, J.F.	Warrington	J.F.	J.F. Warrington			
bm000347020	Hasselberger	Hasselberger             					
bm000117381	Giler, Manuel A. (fl. 1944-1945)	Giler	Manuel A.	Manuel A. Giler	fl. 	1944	1945
bm000349755	Parks, H.	Parks	H.	H. Parks			
bm000154346	Trimen, Henry (1843-1896)	Trimen	Henry	Henry Trimen		1843	1896
bm000377305	Heyn, Chaia Clara (1924-1998)	Heyn	Chaia Clara	Chaia Clara Heyn		1924	1998
bm000128273	Peeters, Christian Paul (1956-)	Peeters	Christian Paul	Christian Paul Peeters		1956	
bm000351362	Hul Thol, S.	Hul Thol	S.	S. Hul Thol			
bm000350998	Helgason, Magnus	Helgason	Magnus	Magnus Helgason			
bm000041794	Lind, Karen (1947-)	Lind	Karen	Karen Lind		1947	
bm000355556	Hu, Zu-Kun	Hu	Zu-Kun	Zu-Kun Hu			
bm000362729	Eastop, Victor Frank (fl. 1968-2000)	Eastop	Victor Frank	Victor Frank Eastop	fl. 	1968	2000
bm000345045	Ühsip, A.	Ühsip	A.	A. Ühsip			
bm000036057	Andrle	Andrle             					
bm000344188	Solheim, W.G.	Solheim	W.G.	W.G. Solheim			
bm000028868	Reynolds, Howard Clayton (1914-)	Reynolds	Howard Clayton	Howard Clayton Reynolds		1914	
bm000336986	Schultz, Arthur (1838-1915)	Schultz	Arthur	Arthur Schultz		1838	1915
bm000332636	Graf, Siegmund (1801-1838)	Graf	Siegmund	Siegmund Graf		1801	1838
bm000061675	Vogel, Stefan (1925-)	Vogel	Stefan	Stefan Vogel		1925	
bm000200284	Kolbe, F.W. (1821-1899)	Kolbe	F.W.	F.W. Kolbe		1821	1899
bm000370120	Gao, Chang-Lan (1947-)	Gao	Chang-Lan	Chang-Lan Gao		1947	
bm000358467	Williamson, J.G.	Williamson	J.G.	J.G. Williamson			
bm000350407	Oerlese	Oerlese             					
bm000378464	Stirrett	Stirrett             					
bm000059836	Borne, A.J.	Borne	A.J.	A.J. Borne			
